TITLE	
DATA TYPE
ORIGIN	JASCO
OWNER
DATE	80/01/04
TIME	03:48:47
SPECTROMETER/DATA SYSTEM	FP-6200
DELTAT	0
TUNITS	Wavelength [nm]
FIRSTT	240
LASTT	350
NPOINTST	23
DELTAX	1
XUNITS	Wavelength [nm]
YUNITS	Int.
FIRSTX	250
LASTX	400
NPOINTS	151
XYDATA1	240	245	250	255	260	265	270	275	280	285	290	295	300	305	310	315	320	325	330	335	340	345	350	
250	243.422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
251	147.722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
252	88.5131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
253	58.5342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
254	45.3501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
255	40.4156	179.026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
256	40.45	108.536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
257	41.2288	67.5363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
258	42.1558	43.9211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
259	44.1552	34.1859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
260	46.5126	30.1195	182.568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
261	47.1729	29.4328	107.104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
262	46.8597	31.2356	62.1945	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
263	47.1108	34.1496	39.4012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
264	45.885	36.0607	29.2403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
265	44.2988	37.8251	24.9044	162.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
266	42.8536	39.4834	23.2894	91.1536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
267	41.0513	39.1088	23.9697	49.9054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
268	37.8979	38.0289	25.0775	30.3807	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
269	35.1331	37.4092	26.471	22.3503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
270	32.0504	36.2427	28.5478	19.3393	86.1906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
271	29.6479	34.4573	30.1953	18.9006	51.3079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
272	28.8082	33.5975	30.5953	18.9379	31.4501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
273	28.5511	32.0916	31.1812	19.583	21.8278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
274	28.1029	30.2008	31.5167	20.8018	17.7222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
275	27.7464	28.993	30.7603	22.659	16.44	141.436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
276	28.2734	27.3103	29.6814	24.0552	16.4937	84.4781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
277	27.8056	25.4396	28.7143	26.1425	16.9361	48.6973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
278	27.9262	24.6343	26.9717	28.0179	18.2877	30.0262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
279	29.1323	24.0474	25.3787	29.2458	20.0414	22.4443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
280	30.8231	23.7913	24.499	30.1676	22.6701	21.5011	162.176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
281	32.2337	24.1669	23.903	32.0262	26.2047	24.5145	102.774	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
282	35.8788	25.393	24.0975	33.1072	31.8272	30.6148	72.1405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
283	41.6458	26.1618	25.8413	35.3586	38.7945	40.9695	64.7432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
284	48.214	28.6782	28.4066	39.9337	48.6614	56.3941	75.9075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
285	60.6882	32.8976	33.0384	46.1648	63.1369	77.9427	101.646	211.931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
286	76.6862	38.4421	39.9566	55.141	81.0296	107.255	140.565	199.938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
287	97.2748	46.6884	48.7136	68.493	101.193	143.832	189.759	218.048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
288	121.608	57.6759	58.0742	83.6245	123.727	185.806	245.785	260.229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
289	147.037	68.9911	70.3632	99.4959	148.825	233.47	307.267	316.086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
290	169.604	80.2462	82.9293	118.338	174.134	282.414	370.705	381.854	454.965	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
